,0
221,241.98279
222,268.01428
223,267.55316
224,428.23987
225,487.79675
226,270.0515
227,582.63385
228,255.08123999999998
229,740.56775
230,693.3457599999999
231,556.62555
232,650.6295
233,265.1031
234,594.89233
235,702.2767299999999
236,581.09485
237,187.04016000000001
238,427.9481
239,91.51346
240,575.74255
241,1.4040222
242,121.92215
243,43.998627
244,151.87698
245,288.37703999999997
246,886.67426
247,38.527435
248,533.46344
249,201.26831
250,356.5161
251,249.61462000000003
252,351.54044
253,349.29147
254,234.45801
255,5.233307
256,342.44147000000004
257,189.06696000000002
258,57.472137
259,586.1132
260,314.7744
261,318.32312
262,606.8407599999999
263,309.95853
264,475.39175
265,472.6774
266,236.25867000000002
267,834.05865
268,930.37396
269,770.0685
270,720.1957
271,337.12122
272,397.6462
273,340.13165
274,143.26367
275,426.11096
276,340.68164
277,257.8982
278,174.82428000000002
279,127.09781000000001
280,508.63074000000006
281,223.02617999999998
282,77.09311
283,-36.438843
284,263.42706
285,607.308
286,80.74193000000001
287,4.6583404999999996
288,-47.429306
289,134.28992
290,1089.9276
291,119.54095500000001
292,150.37405
293,377.98767000000004
294,962.3666
295,328.39124
296,331.51495
297,774.7557
298,266.8553
299,537.7829
300,173.80768
301,1240.6565
302,244.7271
303,387.11084
304,466.25336
305,457.911
306,404.93945
307,122.68453999999998
308,83.25418
309,806.9771
310,32.007020000000004
311,685.9219
312,448.30304
313,187.38535
314,238.61728
315,462.4141
316,468.10794000000004
317,493.9864
318,-39.344757
319,138.71646
320,153.66412
321,252.19446000000002
322,147.1413
323,338.3001
324,-104.824875
325,408.21942
326,306.57056
327,171.89279
328,1052.8936
329,758.302
330,-34.36432
331,424.6394
332,537.85535
333,254.99265
334,449.32388
335,632.618
336,529.5352
337,468.88527999999997
338,810.9216299999999
339,397.01636
340,95.9776
341,16.958557
342,258.61728
343,634.8279
344,563.07495
345,154.60745
346,234.53815
347,535.872
348,350.97424
349,-60.111495999999995
350,258.4679
351,715.5164
352,244.34766000000002
353,30.605103000000003
354,708.7531
355,81.1637
356,886.39624
357,541.4296
358,377.4483
359,113.53146000000001
360,344.65332
361,492.6886
362,188.2395
363,382.76715
364,835.8214
365,369.26923
366,276.3568
367,180.01129
368,166.92941000000002
369,988.96967
370,196.93149
371,312.58636
372,430.1765
373,421.0381
374,268.8885
375,353.90915
376,-11.343597
377,459.7171
378,679.5856
379,277.65707000000003
380,88.88771
381,429.18854000000005
382,339.1045
383,422.72354
384,880.7072
385,564.1935
386,-58.29310600000001
387,236.36132999999998
388,152.95569
389,621.3948
390,383.42132999999995
391,370.7528
392,737.9128400000001
393,310.88653999999997
394,290.15854
395,436.9767
396,353.57452
397,411.2929
398,210.78522
399,-7.624756
400,528.1557
401,463.63364
402,226.06222999999997
403,899.3273
404,517.736
405,1257.7675
406,555.0376
407,508.7879
408,192.17636000000002
409,1332.47
410,175.77191000000002
411,623.82416
412,358.55124
413,546.31055
414,534.3
415,268.87964
416,544.86194
417,210.76162999999997
418,606.6906
419,739.16907
420,171.1359
421,753.9395
422,308.61652000000004
423,571.30444
424,516.83246
425,368.93835
426,161.01428
427,10.901825
428,304.70612
429,434.7897
430,131.79568
431,493.53812
432,544.0824
433,764.7842
434,383.1058
435,206.607
436,552.72253
437,701.06836
438,220.54547000000002
439,135.45695
440,563.6789
441,198.97748
442,482.73785
443,181.38266000000002
444,140.84451
445,545.6919
446,-21.533356
447,604.58984
448,728.5947
449,418.13653999999997
450,88.647064
451,390.5066
452,201.58246
453,441.14545
454,484.255
455,366.5239
456,17.561493
457,1023.4762599999999
458,193.7219
459,2.7250671000000004
460,389.67047
461,413.23962
462,475.33176
463,77.08411
464,-55.352996999999995
465,941.2122
466,174.0534
467,306.76662999999996
468,516.6482
469,91.036224
470,284.55872
471,253.52121
472,595.5296599999999
473,435.6071
474,352.5092
475,339.4531
476,518.6357
477,322.12888
478,210.99303999999998
479,145.53503
480,381.28308
481,19.977936
482,606.1815
483,331.6246
484,704.5587
485,405.46686
486,2.6812897
487,457.54077
488,211.02686
489,216.27902000000003
490,108.99813999999999
491,118.47015
492,180.59805
493,533.81525
494,282.40527000000003
495,409.84137000000004
496,860.7121
497,446.3264
498,329.67107999999996
499,7.1488647
500,370.86682
501,572.48865
502,525.43164
503,135.10889
504,314.4121
505,296.54797
506,241.24808
507,253.83215
508,40.196213
509,374.92548
510,209.46158
511,765.2429
512,422.01782000000003
513,589.7427
514,356.34335
515,229.64801
516,630.85236
517,417.17532
518,371.7423
519,203.42398
520,378.41042999999996
521,656.4223599999999
522,-65.426865
523,301.67
524,175.4416
525,460.00695999999994
526,346.675
527,694.7892
528,287.33887000000004
529,556.48956
530,256.8906
531,631.6266
532,116.71661
533,167.11719
534,510.99242999999996
535,928.3384
536,352.8014
537,681.6309
538,598.7466400000001
539,216.78091
540,448.35195999999996
541,554.27985
542,235.64798
543,636.3221
544,177.20456000000001
545,459.49699999999996
546,104.65265
547,242.68413999999999
548,562.78674
549,430.0424
550,1128.3427
551,31.264923
552,590.01416
553,147.39438
554,-3.0325012000000005
555,207.02798
556,469.39925999999997
557,553.8259
558,604.3749
559,357.20816
560,384.57864
561,587.9622
562,367.50235
563,525.9451
564,677.42535
565,754.735
566,615.48236
567,597.69556
568,394.1334
569,501.26995999999997
570,585.5321
571,688.82605
